,turns
2208,17
2209,25
2210,27
2211,30
2212,8
2213,27
2214,25
2215,20
2216,25
2217,17
2218,13
2219,46
2220,18
2221,19
2222,10
2223,12
2224,19
2225,13
2226,14
2227,12
2228,17
2229,14
2230,13
2231,11
2232,9
2233,17
2234,17
2235,24
2236,28
2237,20
2238,8
2239,11
2240,18
2241,10
2242,13
2243,20
2244,11
2245,13
2246,20
2247,23
2248,24
2249,15
2250,16
2251,19
2252,11
2253,18
2254,20
2255,15
2256,25
2257,14
2258,11
2259,16
2260,10
2261,8
2262,18
2263,13
2264,18
2265,26
2266,8
2267,15
2268,9
2269,24
2270,11
2271,14
2272,23
2273,27
2274,25
2275,7
2276,12
2277,16
2278,40
2279,12
2280,14
2281,18
2282,20
2283,12
2284,11
2285,9
2286,10
2287,11
2288,25
2289,18
2290,17
2291,10
2292,22
2293,10
2294,17
2295,12
2296,17
2297,20
2298,14
2299,25
2300,31
2301,23
2302,20
2303,25
2304,11
2305,10
2306,11
2307,19
2308,15
2309,26
2310,24
2311,12
2312,19
2313,18
2314,11
2315,10
2316,15
2317,20
2318,14
2319,12
2320,17
2321,10
2322,11
2323,16
2324,22
2325,27
2326,10
2327,13
2328,21
2329,16
2330,21
2331,9
2332,8
2333,13
2334,13
2335,17
2336,25
2337,14
2338,12
2339,10
2340,9
2341,10
2342,28
2343,31
2344,30
2345,44
2346,22
2347,14
2348,31
2349,20
2350,23
2351,16
2352,14
2353,23
2354,31
2355,18
2356,14
2357,11
2358,16
2359,21
2360,25
2361,12
2362,13
2363,10
2364,7
2365,25
2366,12
2367,20
2368,22
2369,23
2370,36
2371,30
2372,9
2373,10
2374,14
2375,30
2376,8
2377,22
2378,11
2379,15
2380,11
2381,16
2382,12
2383,28
2384,18
2385,13
2386,17
2387,18
2388,15
2389,22
2390,27
2391,18
2392,13
2393,13
2394,14
2395,15
2396,15
2397,24
2398,13
2399,21
2400,13
2401,18
2402,10
2403,16
2404,11
2405,18
2406,25
2407,22
2408,22
2409,21
